line,from_station,to_station,first_time,last_time
,,,,
1, 汉口北 , 滠口新城 ,390,1350
,,,,
1, 滠口新城 , 藤子岗 ,394,1354
,,,,
1, 藤子岗 , 堤角 ,396,1356
,,,,
1, 堤角 , 新荣 ,390,1358
,,,,
1, 新荣 , 丹水池 ,392,1361
,,,,
1, 丹水池 , 徐洲新村 ,395,1363
,,,,
1, 徐洲新村 , 二七路 ,390,1366
,,,,
1, 二七路 , 头道街 ,391,1368
,,,,
1, 头道街 , 黄浦路 ,393,1370
,,,,
1, 黄浦路 , 三阳路 ,390,1372
,,,,
1, 三阳路 , 大智路 ,392,1375
,,,,
1, 大智路 , 循礼门 ,394,1377
,,,,
1, 循礼门 , 友谊路 ,390,1379
,,,,
1, 友谊路 , 利济北路 ,392,1382
,,,,
1, 利济北路 , 崇仁路 ,394,1384
,,,,
1, 崇仁路 , 硚口路 ,396,1386
,,,,
1, 硚口路 , 太平洋 ,390,1388
,,,,
1, 太平洋 , 宗关 ,392,1390
,,,,
1, 宗关 , 汉西一路 ,395,1393
,,,,
1, 汉西一路 , 古田四路 ,390,1395
,,,,
1, 古田四路 , 古田三路 ,391,1397
,,,,
1, 古田三路 , 古田二路 ,393,1399
,,,,
1, 古田二路 , 古田一路 ,395,1401
,,,,
1, 古田一路 , 舵落口 ,390,1403
,,,,
1, 舵落口 , 竹叶海 ,392,1406
,,,,
1, 竹叶海 , 额头湾 ,394,1408
,,,,
1, 额头湾 , 五环大道 ,390,1409
,,,,
1, 五环大道 , 东吴大道 ,392,1412
,,,,
1, 东吴大道 , 五环大道 ,390,1350
,,,,
1, 五环大道 , 额头湾 ,392,1352
,,,,
1, 额头湾 , 竹叶海 ,395,1355
,,,,
1, 竹叶海 , 舵落口 ,390,1357
,,,,
1, 舵落口 , 古田一路 ,391,1359
,,,,
1, 古田一路 , 古田二路 ,394,1362
,,,,
1, 古田二路 , 古田三路 ,390,1365
,,,,
1, 古田三路 , 古田四路 ,391,1366
,,,,
1, 古田四路 , 汉西一路 ,393,1368
,,,,
1, 汉西一路 , 宗关 ,395,1370
,,,,
1, 宗关 , 太平洋 ,390,1372
,,,,
1, 太平洋 , 硚口路 ,392,1375
,,,,
1, 硚口路 , 崇仁路 ,394,1377
,,,,
1, 崇仁路 , 利济北路 ,397,1379
,,,,
1, 利济北路 , 友谊路 ,390,1382
,,,,
1, 友谊路 , 循礼门 ,392,1384
,,,,
1, 循礼门 , 大智路 ,394,1386
,,,,
1, 大智路 , 三阳路 ,390,1388
,,,,
1, 三阳路 , 黄浦路 ,392,1391
,,,,
1, 黄浦路 , 头道街 ,395,1393
,,,,
1, 头道街 , 二七路 ,390,1395
,,,,
1, 二七路 , 徐洲新村 ,391,1397
,,,,
1, 徐洲新村 , 丹水池 ,393,1399
,,,,
1, 丹水池 , 新荣 ,396,1402
,,,,
1, 新荣 , 堤角 ,390,1404
,,,,
1, 堤角 , 藤子岗 ,392,1407
,,,,
1, 藤子岗 , 滠口新城 ,394,1409
,,,,
1, 滠口新城 , 汉口北 ,390,1411
,,,,
2, 光谷广场 , 杨家湾 ,390,1350
,,,,
2, 杨家湾 , 虎泉 ,392,1352
,,,,
2, 虎泉 , 广埠屯 ,390,1355
,,,,
2, 广埠屯 , 街道口 ,393,1358
,,,,
2, 街道口 , 宝通寺 ,395,1360
,,,,
2, 宝通寺 , 中南路 ,390,1363
,,,,
2, 中南路 , 洪山广场 ,393,1365
,,,,
2, 洪山广场 , 小龟山 ,390,1368
,,,,
2, 小龟山 , 螃蟹岬 ,392,1370
,,,,
2, 螃蟹岬 , 积玉桥 ,390,1372
,,,,
2, 积玉桥 , 江汉路 ,392,1375
,,,,
2, 江汉路 , 循礼门 ,390,1380
,,,,
2, 循礼门 , 中山公园 ,392,1382
,,,,
2, 中山公园 , 青年路 ,390,1385
,,,,
2, 青年路 , 王家墩东 ,392,1388
,,,,
2, 王家墩东 , 范湖 ,390,1390
,,,,
2, 范湖 , 汉口火车站 ,392,1392
,,,,
2, 汉口火车站 , 长港路 ,390,1395
,,,,
2, 长港路 , 常青花园 ,393,1398
,,,,
2, 常青花园 , 金银潭 ,390,1401
,,,,
2, 金银潭 , 常青城 ,393,1403
,,,,
2, 常青城 , 宏图大道 ,395,1406
,,,,
2, 宏图大道 , 盘龙城 ,390,1410
,,,,
2, 盘龙城 , 巨龙大道 ,394,1415
,,,,
2, 巨龙大道 , 宋家岗 ,397,1418
,,,,
2, 宋家岗 , 航空总部 ,400,1421
,,,,
2, 航空总部 , 天河机场 ,390,1424
,,,,
2, 天河机场 , 航空总部 ,390,1350
,,,,
2, 航空总部 , 宋家岗 ,396,1356
,,,,
2, 宋家岗 , 巨龙大道 ,399,1359
,,,,
2, 巨龙大道 , 盘龙城 ,390,1362
,,,,
2, 盘龙城 , 宏图大道 ,393,1364
,,,,
2, 宏图大道 , 常青城 ,390,1369
,,,,
2, 常青城 , 金银潭 ,394,1374
,,,,
2, 金银潭 , 常青花园 ,390,1377
,,,,
2, 常青花园 , 长港路 ,392,1379
,,,,
2, 长港路 , 汉口火车站 ,390,1382
,,,,
2, 汉口火车站 , 范湖 ,392,1385
,,,,
2, 范湖 , 王家墩东 ,390,1387
,,,,
2, 王家墩东 , 青年路 ,392,1390
,,,,
2, 青年路 , 中山公园 ,394,1392
,,,,
2, 中山公园 , 循礼门 ,390,1394
,,,,
2, 循礼门 , 江汉路 ,393,1398
,,,,
2, 江汉路 , 积玉桥 ,390,1400
,,,,
2, 积玉桥 , 螃蟹岬 ,390,1405
,,,,
2, 螃蟹岬 , 小龟山 ,392,1408
,,,,
2, 小龟山 , 洪山广场 ,390,1409
,,,,
2, 洪山广场 , 中南路 ,392,1412
,,,,
2, 中南路 , 宝通寺 ,394,1414
,,,,
2, 宝通寺 , 街道口 ,390,1417
,,,,
2, 街道口 , 广埠屯 ,392,1420
,,,,
2, 广埠屯 , 虎泉 ,390,1422
,,,,
2, 虎泉 , 杨家湾 ,393,1425
,,,,
2, 杨家湾 , 光谷广场 ,390,1428
,,,,
3, 宏图大道 , 市民之家 ,390,1350
,,,,
3, 市民之家 , 后湖大道 ,393,1353
,,,,
3, 后湖大道 , 兴业路 ,396,1356
,,,,
3, 兴业路 , 二七小路 ,398,1358
,,,,
3, 二七小路 , 罗家庄 ,401,1361
,,,,
3, 罗家庄 , 赵家条 ,403,1363
,,,,
3, 赵家条 , 惠济二路 ,390,1365
,,,,
3, 惠济二路 , 香港路 ,392,1367
,,,,
3, 香港路 , 菱角湖路 ,394,1369
,,,,
3, 菱角湖路 , 范湖 ,396,1371
,,,,
3, 范湖 , 云飞路 ,399,1374
,,,,
3, 云飞路 , 武汉商务区 ,401,1376
,,,,
3, 武汉商务区 , 双墩 ,404,1378
,,,,
3, 双墩 , 宗关 ,390,1381
,,,,
3, 宗关 , 王家湾 ,392,1384
,,,,
3, 王家湾 , 龙阳村 ,396,1388
,,,,
3, 龙阳村 , 陶家岭 ,398,1390
,,,,
3, 陶家岭 , 四新大道 ,400,1392
,,,,
3, 四新大道 , 汉阳客运站 ,403,1394
,,,,
3, 汉阳客运站 , 三角湖 ,405,1396
,,,,
3, 三角湖 , 体育中心 ,390,1399
,,,,
3, 体育中心 , 东风公司 ,392,1402
,,,,
3, 东风公司 , 沌阳大道 ,394,1404
,,,,
3, 沌阳大道 , 东风公司 ,390,1350
,,,,
3, 东风公司 , 体育中心 ,392,1352
,,,,
3, 体育中心 , 三角湖 ,395,1354
,,,,
3, 三角湖 , 汉阳客运站 ,397,1357
,,,,
3, 汉阳客运站 , 四新大道 ,400,1359
,,,,
3, 四新大道 , 陶家岭 ,402,1361
,,,,
3, 陶家岭 , 龙阳村 ,404,1364
,,,,
3, 龙阳村 , 王家湾 ,390,1366
,,,,
3, 王家湾 , 宗关 ,392,1368
,,,,
3, 宗关 , 双墩 ,397,1372
,,,,
3, 双墩 , 武汉商务区 ,399,1375
,,,,
3, 武汉商务区 , 云飞路 ,402,1378
,,,,
3, 云飞路 , 范湖 ,404,1380
,,,,
3, 范湖 , 菱角湖路 ,390,1382
,,,,
3, 菱角湖路 , 香港路 ,393,1385
,,,,
3, 香港路 , 惠济二路 ,395,1387
,,,,
3, 惠济二路 , 赵家条 ,397,1389
,,,,
3, 赵家条 , 罗家庄 ,399,1391
,,,,
3, 罗家庄 , 二七小路 ,401,1393
,,,,
3, 二七小路 , 兴业路 ,403,1395
,,,,
3, 兴业路 , 后湖大道 ,405,1398
,,,,
3, 后湖大道 , 市民之家 ,390,1400
,,,,
3, 市民之家 , 宏图大道 ,393,1403
,,,,
4, 武汉火车站 , 杨春湖 ,390,1350
,,,,
4, 杨春湖 , 工业四路 ,391,1351
,,,,
4, 工业四路 , 仁和路 ,394,1354
,,,,
4, 仁和路 , 园林路 ,396,1356
,,,,
